route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
42957,312761027102,257386,380,1,,Chicago
42991,112761737102,258415,1333,0,338,St. Paul
60,312761027102,244022,517,1,372,Portland
40751,106461517102,256536,2228,0,328,New York
40751,106461937102,256544,2265,1,324,Washington
84,106262517102,258400,537,0,61,Oakland
42991,212761026109,258413,1333,0,338,St. Paul
42991,112761106172,258414,1333,0,338,St. Paul
42951,312761027102,195509,301,1,256,St. Louis
94,106262517102,257405,601,0,25,Harrisburg
84,206261026142,258396,537,0,61,Oakland
84,106261466247,258398,537,0,61,Oakland
84,106262517102,258412,536,1,59,Sacramento
42991,112761737102,258421,1340,1,337,Chicago
60,112761207102,258424,516,0,375,Vancouver
84,206261026142,258408,536,1,59,Sacramento
84,106261466247,258410,536,1,59,Sacramento
42991,212761026109,258419,1340,1,337,Chicago
42991,112761106172,258420,1340,1,337,Chicago
60,212761026118,258422,516,0,375,Vancouver
41080,306261027102,253870,4141,1,,Richmond
60,112761207102,258430,519,1,297,Seattle
94,206561026109,252928,664,1,21,New York
94,106561156151,252929,664,1,21,New York
94,103261456145,252930,664,1,21,New York
94,100261846184,252932,664,1,21,New York
94,103262506250,252933,664,1,21,New York
87,112761197102,247902,22,1,274,Chicago
95,312761027102,256591,69,0,4,Montreal
88,100361917102,250319,65,1,84,Newport News
88,100361076108,250315,65,1,84,Newport News
88,100361146185,250316,65,1,84,Newport News
88,106461446144,250317,65,1,84,Newport News
88,100461836183,250318,65,1,84,Newport News
88,106462496249,250320,65,1,84,Newport News
87,212761026110,247900,22,1,274,Chicago
87,112761116118,247901,22,1,,Fort Worth
87,112761116118,247907,1022,1,,Chicago
94,106561577102,252946,667,0,23,Harrisburg
94,106561577102,252952,669,0,23,Harrisburg
43,312761027102,247911,8721,0,,Fort Cavazos
94,106561577102,252958,670,1,21,New York
36949,312761027102,241878,291,0,371,Burlington
94,206561026151,252944,667,0,23,Harrisburg
94,103261456145,252945,667,0,23,Harrisburg
94,100261846184,252947,667,0,23,Harrisburg
94,103262506250,252948,667,0,23,Harrisburg
